date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:27:46	42020/42020	---MCZ	200	added ('OK')	text/html	date:Sat,%2030%20Aug%202025%2019:27:46%20GMT	https://www.facebook.com/plugins/page.php?href=https%3A%2F%2Fwww.facebook.com%2Ftramanvat.vn	C:/THAI_AN/FB%20Add/www.facebook.com/plugins/page4b0f.html	(from )
02:27:46	1395/1395	---M-Z	200	added ('OK')	text/plain	date:Sat,%2030%20Aug%202025%2018:14:56%20GMT	https://www.facebook.com/robots.txt		(from )
02:27:47	42384/42384	---MCZ	200	added ('OK')	text/html	date:Sat,%2030%20Aug%202025%2019:27:47%20GMT	https://www.facebook.com/plugins/page.php?href=https%3A%2F%2Fwww.facebook.com%2Ftramanvat.vn&_fb_noscript=1	C:/THAI_AN/FB%20Add/www.facebook.com/plugins/page0f55.html	(from https://www.facebook.com/plugins/page.php?href=https%3A%2F%2Fwww.facebook.com%2Ftramanvat.vn)
02:27:47	20833/20833	---M-Z	200	added ('OK')	text/css	date:Mon,%2001%20Jan%202001%2008:00:00%20GMT	https://static.xx.fbcdn.net/rsrc.php/v5/yz/l/0,cross/Bri-dgzIomE.css	C:/THAI_AN/FB%20Add/static.xx.fbcdn.net/rsrc.php/v5/yz/l/0,cross/Bri-dgzIomE.css	(from https://www.facebook.com/plugins/page.php?href=https%3A%2F%2Fwww.facebook.com%2Ftramanvat.vn)
02:27:47	421147/421147	---M-Z	200	added ('OK')	application/x-javascript	date:Mon,%2001%20Jan%202001%2008:00:00%20GMT	https://static.xx.fbcdn.net/rsrc.php/v4/yR/r/9w7Y_DEOTjd.js	C:/THAI_AN/FB%20Add/static.xx.fbcdn.net/rsrc.php/v4/yR/r/9w7Y_DEOTjd.js	(from https://www.facebook.com/plugins/page.php?href=https%3A%2F%2Fwww.facebook.com%2Ftramanvat.vn)
02:27:47	11309/11309	---M-Z	200	added ('OK')	application/x-javascript	date:Mon,%2001%20Jan%202001%2008:00:00%20GMT	https://static.xx.fbcdn.net/rsrc.php/v4/yG/r/wHDukholmsJ.js	C:/THAI_AN/FB%20Add/static.xx.fbcdn.net/rsrc.php/v4/yG/r/wHDukholmsJ.js	(from https://www.facebook.com/plugins/page.php?href=https%3A%2F%2Fwww.facebook.com%2Ftramanvat.vn)
02:27:48	185908/185908	---M-Z	200	added ('OK')	application/x-javascript	date:Mon,%2001%20Jan%202001%2008:00:00%20GMT	https://static.xx.fbcdn.net/rsrc.php/v4iEpO4/yb/l/en_GB-j/z_6RtKKWScV.js	C:/THAI_AN/FB%20Add/static.xx.fbcdn.net/rsrc.php/v4iEpO4/yb/l/en_GB-j/z_6RtKKWScV.js	(from https://www.facebook.com/plugins/page.php?href=https%3A%2F%2Fwww.facebook.com%2Ftramanvat.vn)
02:27:48	32686/32686	---M-Z	200	added ('OK')	application/x-javascript	date:Mon,%2001%20Jan%202001%2008:00:00%20GMT	https://static.xx.fbcdn.net/rsrc.php/v4/y3/r/-nEptxoYqwS.js	C:/THAI_AN/FB%20Add/static.xx.fbcdn.net/rsrc.php/v4/y3/r/-nEptxoYqwS.js	(from https://www.facebook.com/plugins/page.php?href=https%3A%2F%2Fwww.facebook.com%2Ftramanvat.vn)
02:27:48	507/507	---M-Z	200	added ('OK')	application/x-javascript	date:Mon,%2001%20Jan%202001%2008:00:00%20GMT	https://static.xx.fbcdn.net/rsrc.php/v4/yF/r/p55HfXW__mM.js	C:/THAI_AN/FB%20Add/static.xx.fbcdn.net/rsrc.php/v4/yF/r/p55HfXW__mM.js	(from https://www.facebook.com/plugins/page.php?href=https%3A%2F%2Fwww.facebook.com%2Ftramanvat.vn)
02:27:48	18997/18997	---M--	200	added ('OK')	image/jpeg	date:Mon,%2018%20Aug%202025%2005:04:19%20GMT	https://scontent.fsgn2-4.fna.fbcdn.net/v/t39.30808-6/534405083_1244632931011484_5814474896197566725_n.jpg?stp=dst-jpg_s350x350_tt6&_nc_cat=101&ccb=1-7&_nc_sid=4cb600&_nc_ohc=z6DtQ5QvP9UQ7kNvwFWIAxh&_nc_oc=Adk8-wbtYHefQ-lTXB8mNCdt-B4X2OZx-6kbChv-AHak_TD5FWs5bScbW4J81RT4XxE&_nc_zt=23&_nc_ht=scontent.fsgn2-4.fna&edm=ADwHzz8EAAAA&_nc_gid=hiDriYciZ7OG4i8RxaIEJA&oh=00_AfWycmlzYHtdoKhQwL638Ier9_mioTfBYnQtkbHQmK4wuA&oe=68B92E54	C:/THAI_AN/FB%20Add/scontent.fsgn2-4.fna.fbcdn.net/v/t39.30808-6/534405083_1244632931011484_5814474896197566725_n1302.jpg	(from https://www.facebook.com/plugins/page.php?href=https%3A%2F%2Fwww.facebook.com%2Ftramanvat.vn)
